time,best_of_gen,average,TRAINED,gen
1750819323.4202416,0.7660105915492957,-415.61699470422536,False,4452
1750819324.2505667,0.7660105915492957,-523.717141475309,False,4453
1750819324.9936206,0.7660105915492957,-425.6350223430161,False,4454
1750819325.8038206,0.7660105915492957,-552.7029499761917,False,4455
1750819326.5513458,0.7660105915492957,-397.6096297291569,False,4456
1750819327.3629227,0.7660105915492957,-528.6782755515493,False,4457
1750819328.1140063,0.7660105915492957,-464.609953601292,False,4458
1750819328.8962958,0.7660105915492957,-391.6323149160564,False,4459
1750819329.6608517,0.7660105915492957,-459.62543639342476,False,4460
1750819337.0656238,0.7660105915492957,-369.5413183676093,True,4461
1750819337.9293296,0.7660105915492957,-441.5863542805634,False,4462
1750819338.813597,0.7660105915492957,-449.6782755515493,False,4463
1750819339.6346216,0.7660105915492957,-422.61832717302445,False,4464
1750819340.5445511,0.7660105915492957,-625.7395563988732,False,4465
1750819341.3899484,0.7660105915492957,-511.6480704589379,False,4466
1750819342.2402332,0.7660105915492957,-503.6782755515493,False,4467
1750819343.0731578,0.7660105915492957,-435.62465481014084,False,4468
1750819343.895502,0.7660105915492957,-442.6484876680886,False,4469
1750819344.7008235,0.7660105915492957,-327.5641038782061,False,4470
1750819345.4989383,0.7660105915492957,-416.5940143864789,False,4471
1750819346.3885036,0.7660105915492957,-510.70256442681625,False,4472
1750819347.2360952,0.7660105915492957,-475.67175377577206,False,4473
1750819348.217548,0.7660105915492957,-463.6786323563928,False,4474
1750819349.007959,0.7660105915492957,-451.60968184093116,False,4475
1750819349.7653854,0.7660105915492957,-330.52523621526603,False,4476
1750819350.5633576,0.7660105915492957,-464.617157486252,False,4477
1750819351.3777964,0.7660105915492957,-481.63997502197185,False,4478
1750819352.2019787,0.7660105915492957,-587.6935957633802,False,4479
1750819352.9987247,0.7660105915492957,-553.6563206369713,False,4480
1750819353.7897847,0.7660105915492957,-504.64121312238734,False,4481
1750819354.5963848,0.7660105915492957,-546.7165760811267,False,4482
1750819355.4091132,0.7660105915492957,-577.7550031010642,False,4483
1750819356.1810346,0.7660105915492957,-490.68045629015927,False,4484
1750819356.9673352,0.7660105915492957,-484.67221818187915,False,4485
1750819357.7320666,0.7660105915492957,-436.6262737393375,False,4486
1750819365.1342514,0.7660105915492957,-408.5713277691684,True,4487
1750819365.9820793,0.7660105915492957,-539.6490751862418,False,4488
1750819366.8570092,0.7660105915492957,-445.62465481014084,False,4489
1750819367.6892195,0.7660105915492957,-478.6706154456338,False,4490
1750819368.5454419,0.7660105915492957,-487.6723473128157,False,4491
1750819369.4116776,0.7660105915492957,-392.5949807611123,False,4492
1750819370.2191494,0.7660105915492957,-408.5940143864789,False,4493
1750819371.0538948,0.7660105915492957,-462.6181372983909,False,4494
1750819371.8853598,0.7660105915492957,-502.6330347106561,False,4495
1750819372.6943104,0.7660105915492957,-430.5940143864789,False,4496
1750819373.469318,0.7660105915492957,-336.55571385690143,False,4497
1750819374.465429,0.7660105915492957,-480.640713535782,False,4498
1750819375.2806444,0.7660105915492957,-493.62493507304265,False,4499
1750819376.0981753,0.7660105915492957,-417.57118948242567,False,4500
1750819376.9335494,0.7660105915492957,-489.6323149160564,False,4501
1750819377.7612114,0.7660105915492957,-494.6323149160564,False,4502
1750819378.5626578,0.7660105915492957,-483.6476351278873,False,4503
1750819379.3689036,0.7660105915492957,-477.640563081754,False,4504
1750819380.1910777,0.7660105915492957,-535.6798061446476,False,4505
1750819380.9876177,0.7660105915492957,-461.6120885525556,False,4506
1750819381.7891028,0.7660105915492957,-461.65556996684165,False,4507
1750819382.5864189,0.7660105915492957,-396.61716448875194,False,4508
1750819383.3841856,0.7660105915492957,-490.6401448064984,False,4509
1750819384.2288263,0.7660105915492957,-553.6948559709131,False,4510
1750819384.9952464,0.7660105915492957,-430.5893056240514,False,4511
1750819385.8179812,0.7660105915492957,-458.63997502197185,False,4512
1750819393.333148,0.7660105915492957,-467.6935957633803,True,4513
1750819394.19231,0.7660105915492957,-467.64082778528996,False,4514
1750819395.0380304,0.7660105915492957,-455.6476351278873,False,4515
1750819395.9131472,0.7660105915492957,-511.6859356574648,False,4516
1750819396.7330582,0.7660105915492957,-422.58696848034555,False,4517
1750819397.6179504,0.7660105915492957,-452.6171702184742,False,4518
1750819398.4139872,0.7660105915492957,-357.57937303530025,False,4519
1750819399.2703876,0.7660105915492957,-471.63997502197185,False,4520
1750819400.1244924,0.7660105915492957,-420.6252838645897,False,4521
1750819401.12977,0.7660105915492957,-484.610711308259,False,4522
1750819401.9592865,0.7660105915492957,-442.63247158391624,False,4523
1750819402.8178446,0.7660105915492957,-501.61866604243005,False,4524
1750819403.6511114,0.7660105915492957,-530.6552952338028,False,4525
1750819404.4530435,0.7660105915492957,-393.6103571150723,False,4526
1750819405.2948587,0.7660105915492957,-500.6782755515493,False,4527
1750819406.126018,0.7660105915492957,-494.66295533971834,False,4528
1750819406.9174147,0.7660105915492957,-479.62607912148843,False,4529
1750819407.7139773,0.7660105915492957,-413.5948377881052,False,4530
1750819408.5417447,0.7660105915492957,-535.6782927064789,False,4531
1750819409.3724167,0.7660105915492957,-522.6937842147809,False,4532
1750819410.1819117,0.7660105915492957,-461.6171660006964,False,4533
1750819411.0046754,0.7660105915492957,-469.6552952338028,False,4534
1750819411.8263776,0.7660105915492957,-524.6859356574648,False,4535
1750819412.6509786,0.7660105915492957,-458.67842538857593,False,4536
1750819413.4679623,0.7660105915492957,-510.73189629295774,False,4537
1750819414.2756982,0.7660105915492957,-506.6945185813775,False,4538
1750819415.087385,0.7660105915492957,-500.65558981533474,False,4539
1750819422.8093615,0.7660105915492957,-381.60243140067826,True,4540
1750819423.6528761,0.7660105915492957,-442.5879932668373,False,4541
1750819424.5425925,0.7660105915492957,-506.63424644960355,False,4542
1750819425.4265575,0.7660105915492957,-484.6410034715461,False,4543
1750819426.4332418,0.7660105915492957,-368.5636209848968,False,4544
1750819427.261987,0.7660105915492957,-441.6093345983099,False,4545
1750819428.1590466,0.7660105915492957,-499.66295533971834,False,4546
1750819428.9741497,0.7660105915492957,-454.61834834678194,False,4547
1750819429.8812506,0.7660105915492957,-423.648715729937,False,4548
1750819430.7226338,0.7660105915492957,-531.6629553397183,False,4549
1750819431.62873,0.7660105915492957,-476.6635769272338,False,4550
1750819432.4718912,0.7660105915492957,-453.6419070762107,False,4551
1750819433.3066554,0.7660105915492957,-416.64123208253613,False,4552
1750819434.1319106,0.7660105915492957,-422.57223196772554,False,4553
1750819434.97044,0.7660105915492957,-421.5655125424519,False,4554
1750819435.7529104,0.7660105915492957,-372.5720262841886,False,4555
1750819436.5683236,0.7660105915492957,-427.6093345983099,False,4556
1750819437.3786201,0.7660105915492957,-499.6552952338028,False,4557
1750819438.169096,0.7660105915492957,-388.6040915064717,False,4558
1750819439.0058386,0.7660105915492957,-568.6952093124581,False,4559
1750819439.7975495,0.7660105915492957,-391.57928856616337,False,4560
1750819440.6043153,0.7660105915492957,-504.63997502197185,False,4561
1750819441.4270072,0.7660105915492957,-444.63997502197185,False,4562
1750819442.2418532,0.7660105915492957,-461.6341900207013,False,4563
1750819443.1274955,0.7660105915492957,-678.7637430005097,False,4564
1750819443.951525,0.7660105915492957,-559.7175712647346,False,4565
1750819451.7497907,0.7660105915492957,-499.7017199298059,True,4566
1750819452.653983,0.7660105915492957,-458.65607873997806,False,4567
1750819453.5289242,0.7660105915492957,-393.5786941746479,False,4568
1750819454.4054096,0.7660105915492957,-448.62465481014084,False,4569
1750819455.3212345,0.7660105915492957,-476.64078040554966,False,4570
1750819456.1713402,0.7660105915492957,-474.63349355953034,False,4571
1750819456.991785,0.7660105915492957,-432.61699470422536,False,4572
1750819457.7668815,0.7660105915492957,-368.5480537509859,False,4573
1750819458.5919921,0.7660105915492957,-462.60167449239435,False,4574
1750819459.3976593,0.7660105915492957,-491.6093345983099,False,4575
1750819460.230659,0.7660105915492957,-501.6335341104718,False,4576
1750819461.0926085,0.7660105915492957,-458.5951871852017,False,4577
1750819461.9648387,0.7660105915492957,-657.7191029503686,False,4578
1750819462.8247194,0.7660105915492957,-446.6568666052335,False,4579
1750819463.707998,0.7660105915492957,-514.6782755515493,False,4580
1750819464.49521,0.7660105915492957,-442.63352227537354,False,4581
1750819465.3732336,0.7660105915492957,-450.70198218609534,False,4582
1750819466.1540177,0.7660105915492957,-398.64940344852437,False,4583
1750819466.9981854,0.7660105915492957,-547.7012558692958,False,4584
1750819467.8304183,0.7660105915492957,-522.6719790932777,False,4585
1750819468.639001,0.7660105915492957,-479.6802572189987,False,4586
1750819469.4344144,0.7660105915492957,-519.6711782483493,False,4587
1750819470.2607775,0.7660105915492957,-494.6482061998835,False,4588
1750819471.0524504,0.7660105915492957,-434.60167449239435,False,4589
1750819471.8941472,0.7660105915492957,-471.6562741668978,False,4590
1750819472.7052846,0.7660105915492957,-459.64852542480605,False,4591
1750819480.3608017,0.7660105915492957,-491.664053401467,True,4592
1750819481.2738056,0.7660105915492957,-489.66295533971834,False,4593
1750819482.1939843,0.7660105915492957,-484.671206843816,False,4594
1750819483.0773768,0.7660105915492957,-475.63310650552523,False,4595
1750819483.9534273,0.7660105915492957,-495.65545587305166,False,4596
1750819484.815577,0.7660105915492957,-386.6093345983099,False,4597
1750819485.705094,0.7660105915492957,-486.62537996921424,False,4598
1750819486.5422392,0.7660105915492957,-476.640913457631,False,4599
1750819487.38308,0.7660105915492957,-461.6019158418715,False,4600
1750819488.2355888,0.7660105915492957,-481.6476351278873,False,4601
1750819489.1063988,0.7660105915492957,-491.7012558692958,False,4602
1750819489.9404013,0.7660105915492957,-469.6565876888492,False,4603
1750819490.7537177,0.7660105915492957,-341.5731229359166,False,4604
1750819491.6116304,0.7660105915492957,-539.6706154456338,False,4605
1750819492.443736,0.7660105915492957,-555.6256125531465,False,4606
1750819493.2596874,0.7660105915492957,-427.6173362693189,False,4607
1750819494.112593,0.7660105915492957,-534.6859356574648,False,4608
1750819494.9050236,0.7660105915492957,-397.60213266128284,False,4609
1750819495.7222095,0.7660105915492957,-429.5940143864789,False,4610
1750819496.5476565,0.7660105915492957,-469.6476351278873,False,4611
1750819497.3583496,0.7660105915492957,-400.62465481014084,False,4612
1750819498.1869617,0.7660105915492957,-521.6552952338028,False,4613
1750819499.026481,0.7660105915492957,-521.6864143514885,False,4614
1750819500.017463,0.7660105915492957,-492.6552952338028,False,4615
